Execution Time,CPU Usage,Memory Usage Begin,Memory Usage End
0.144,45.0,2548800,28417752
0.148,48.0,2548800,32673856
0.156,49.0,2548800,33913392
0.154,51.0,2548800,33312864
0.123,50.0,2548800,32871264
0.154,49.0,2548800,29684160
0.161,46.0,2548800,30840656
0.118,48.0,2548800,33325088
0.151,49.0,2548800,28762240
0.136,53.0,2548800,34776472
0.13,51.0,2548800,33940176
0.133,52.0,2548800,35882656
0.121,54.0,2548800,28024968
0.111,48.0,2548800,36416688
0.135,46.0,2548800,27263376
0.135,52.0,2548800,36571312
0.153,45.0,2548800,29953784
0.133,47.0,2548800,26914176
0.139,50.0,2548800,28994376
0.132,58.0,2548800,36353360
0.154,47.0,2548800,30620096
0.142,50.0,2548800,35252096
0.122,46.0,2548800,39767248
0.162,40.0,2548800,28006432
0.147,45.0,2548800,31528328
0.134,46.0,2548800,34096384
0.144,46.0,2548800,37268928
0.152,51.0,2548800,33924072
0.144,51.0,2548800,31625192
0.149,50.0,2548800,33864000
0.136,51.0,2548800,30910096
0.131,47.0,2548800,27987576
0.163,42.0,2548800,33210096
0.139,49.0,2548800,29545824
0.125,49.0,2548800,33444048
0.16,47.0,2548800,30612696
0.147,51.0,2548800,30188160
0.115,55.0,2548800,32627392
0.12,51.0,2548800,32058912
0.133,50.0,2548800,29259216
0.15,50.0,2548800,27393896
0.123,47.0,2548800,33923952
0.12,48.0,2548800,27191496
0.154,50.0,2548800,29695536
0.12,50.0,2548800,32807704
0.118,48.0,2548800,32119880
0.13,47.0,2548800,33318008
0.129,51.0,2548800,29617520
0.134,48.0,2548800,30531720
0.157,48.0,2548800,29870224
0.137,49.0,2548800,33036832
0.135,54.0,2548800,32327392
0.137,50.0,2548800,29561120
0.118,51.0,2548800,33993264
0.135,49.0,2548800,29222800
0.163,47.0,2548800,32117672
0.168,47.0,2548800,27687424
0.129,45.0,2548800,28563024
0.127,45.0,2548800,28090592
0.151,48.0,2548800,31520512
0.139,49.0,2548800,28599848
0.149,48.0,2548800,29691040
0.119,52.0,2548800,32086624
0.148,46.0,2548800,28335672
0.13,44.0,2548800,28453024
0.143,45.0,2548800,30881016
0.146,51.0,2548800,34494656
0.137,45.0,2548800,31204584
0.119,42.0,2548800,34662192
0.143,47.0,2548800,33400448
0.147,48.0,2548800,28539168
0.146,47.0,2548800,27959920
0.151,50.0,2548800,29297152
0.152,51.0,2548800,31792672
0.122,48.0,2548800,36556552
0.148,48.0,2548800,32676848
0.15,44.0,2548800,33870080
0.124,44.0,2548800,36580352
0.153,50.0,2548800,35361624
0.146,48.0,2548800,30563840
0.146,45.0,2548800,29255824
0.141,48.0,2548800,27534216
0.148,50.0,2548800,26797256
0.14,48.0,2548800,32694944
0.134,49.0,2548800,29471000
0.125,44.0,2548800,27549536
0.133,51.0,2548800,35332496
0.13,47.0,2548800,29708048
0.127,48.0,2548800,27572248
0.14,50.0,2548800,35755056
0.152,53.0,2548800,31052368
0.146,50.0,2548800,28401664
0.14,48.0,2548800,25687680
0.127,49.0,2548800,27382528
0.125,44.0,2548800,34666840
0.133,46.0,2548800,30194280
0.131,57.0,2548800,38148184
0.149,48.0,2548800,29988136
0.136,47.0,2548800,27366528
0.161,46.0,2548800,29300880
